34,MPL Philippines Season 9,A,2182022,1052022,1.6.50B – 1.6.72,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_9,30122023,34_MPL Philippines Season 9.csv
35,MPL Malaysia Season 9,A,2182022,24042022,1.6.52 – 1.6.72,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_9,30122023,35_MPL Malaysia Season 9.csv
36,MPL Indonesia Season 9,A,2182022,24042022,1.6.52 – 1.6.72,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9,30122023,36_MPL Indonesia Season 9.csv
37,ONE Esports MPL Invitational 2021,A,11022021,7112021,1.6.26,https://liquipedia.net/mobilelegends/ONE_Esports_MPL_Invitational/2021,30122023,37_ONE Esports MPL Invitational 2021.csv
38,MPL Indonesia Season 8,A,8132021,24102021,1.6.10 – 1.6.18,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8,30122023,38_MPL Indonesia Season 8.csv
39,MPL Philippines Season 8,A,8272021,24102021,1.6.10 – 1.6.18,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_8,30122023,39_MPL Philippines Season 8.csv
40,MPL Malaysia Season 8,A,8132021,17102021,1.6.18,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_8,30122023,40_MPL Malaysia Season 8.csv
41,MPL Singapore Season 2,A,9112021,17102021,1.6.10 – 1.6.26,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_2,30122023,41_MPL Singapore Season 2.csv
42,MLBB Southeast Asia Cup 2021,A,6072021,13062021,null,https://liquipedia.net/mobilelegends/MSC/2021,30122023,42_MLBB Southeast Asia Cup 2021.csv
43,MPL Malaysia Season 7,A,3122021,30052021,null,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_7,30122023,43_MPL Malaysia Season 7.csv
44,MPL Philippines Season 7,A,3192021,30052021,1.5.62 – 1.5.78,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_7,30122023,44_MPL Philippines Season 7.csv
45,MPL Singapore Season 1,A,4032021,9052021,1.5.62 – 1.5.70,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_1,30122023,45_MPL Singapore Season 1.csv
46,MPL Indonesia Season 7,A,2262021,2052021,1.5.52 – 1.5.62,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_7,30122023,46_MPL Indonesia Season 7.csv
47,ONE Esports MPL Invitational 2020,A,11272020,6122020,1.5.32,https://liquipedia.net/mobilelegends/ONE_Esports_MPL_Invitational/2020,30122023,47_ONE Esports MPL Invitational 2020.csv
48,MPL Myanmar Season 5,A,9262020,1112020,1.5.16 – 1.5.24,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_5,30122023,48_MPL Myanmar Season 5.csv
49,MPL MY/SG Season 6,A,8282020,25102020,null,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_6,30122023,49_MPL MY_SG Season 6.csv
50,MPL Philippines Season 6,A,8212020,25102020,1.4.94B – 1.5.16B,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_6,30122023,50_MPL Philippines Season 6.csv
51,MPL Indonesia Season 6,A,8142020,18102020,null,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_6,30122023,51_MPL Indonesia Season 6.csv
52,MPL Invitational 4 Nation Cup,A,6192020,5072020,1.4.86,https://liquipedia.net/mobilelegends/MPLI_4_Nation_Cup,30122023,52_MPL Invitational 4 Nation Cup.csv
53,MPL Myanmar Season 4,A,5162020,21062020,1.4.76 – 1.4.86,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_4,30122023,53_MPL Myanmar Season 4.csv
54,MPL Philippines Season 5,A,2282020,31052020,1.4.50 – 1.4.76,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_5,30122023,54_MPL Philippines Season 5.csv
55,MPL MY/SG Season 5,A,2292020,3052020,1.4.50 – 1.4.76,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_5,30122023,55_MPL MY_SG Season 5.csv
56,MPL Indonesia Season 5,A,2072020,12042020,1.4.44 – 1.4.60,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5,30122023,56_MPL Indonesia Season 5.csv
57,30th Southeast Asian Games,A,12052019,8122019,null,https://liquipedia.net/mobilelegends/Southeast_Asian_Games/2019,30122023,57_30th Southeast Asian Games.csv
58,MPL Indonesia Season 4,A,8232019,27102019,1.3.52 – 1.4.08,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4,30122023,58_MPL Indonesia Season 4.csv
59,MPL Myanmar Season 3,A,8312019,26102019,1.3.96 – 1.4.20,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_3,30122023,59_MPL Myanmar Season 3.csv
60,MPL MY/SG Season 4,A,8242019,20102019,1.4.06 – 1.4.20,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_4,30122023,60_MPL MY_SG Season 4.csv
61,MPL Philippines Season 4,A,8102019,6102019,1.3.96 – 1.4.14,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_4,30122023,61_MPL Philippines Season 4.csv
62,MLBB Southeast Asia Cup 2019,A,6192019,23062019,null,https://liquipedia.net/mobilelegends/MSC/2019,30122023,62_MLBB Southeast Asia Cup 2019.csv
63,MPL Philippines Season 3,A,3232019,26052019,1.3.52 – 1.3.80,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3,30122023,63_MPL Philippines Season 3.csv
64,MPL Indonesia Season 3,A,2162019,5052019,1.3.52 – 1.3.54,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3,30122023,64_MPL Indonesia Season 3.csv
65,MPL MY/SG Season 3,A,3012019,21042019,1.3.52 – 1.3.54,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_3,30122023,65_MPL MY_SG Season 3.csv
66,MPL Philippines Season 2,A,10272018,13012019,1.3.12,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_2,30122023,66_MPL Philippines Season 2.csv
67,MPL Indonesia Season 2,A,9072018,18112018,1.3.10,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2,30122023,67_MPL Indonesia Season 2.csv
68,MPL MY/SG Season 2,A,8102018,21102018,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_2,30122023,68_MPL MY_SG Season 2.csv
69,MLBB Southeast Asia Cup 2018,A,7272018,29072018,null,https://liquipedia.net/mobilelegends/MSC/2018,30122023,69_MLBB Southeast Asia Cup 2018.csv
70,MPL Philippines Season 1,A,5122018,1072018,1.2.76 – 1.2.90,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1,30122023,70_MPL Philippines Season 1.csv
71,MPL MY/SG Season 1,A,1132018,15042018,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_1,30122023,71_MPL MY_SG Season 1.csv
